REGION_BRCH,PRODUCT_TYPE_BRCH,AS_OF_DT,COLLATERAL_AGREEMENT_ID,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,CUSTOMER_NR,ENTITY,FACILITY_NR,MATURITY_DATE,REC_REF_DT,SOURCE_SYSTEM,START_DATE,FROM_CURRENCY,TO_CURRENCY,RATE,MULTIPLY_DIVIDE_IND,LCY_TO_HKD,DEAL_DT
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003288563:2:1,P003,78971361,HKD,018:RM:1800000000000000000001328328,18,CLS:1000600495,30NOV2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003288563:1:0,G007,100000000,HKD,018:RM:1800000000000000000001328328,18,CLS:1000600495,30NOV2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293506:1:1,P001,3530088,HKD,018:RM:1800000000000000000001348284,18,CLS:1000610591,10MAY2051:00:00:00,31DEC2024:00:00:00,NX,10MAY2021:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003299973:1:1,P001,47143341,HKD,018:RM:1800000000000000000001357672,18,CLS:1000623662,26JUL2051:00:00:00,31DEC2024:00:00:00,NX,26JUL2021:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003291837:7:1,P002,2925947,HKD,018:RM:1800000000000000000001342613,18,CLS:1000644384,12JAN2042:00:00:00,31DEC2024:00:00:00,NX,12JAN2022:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003291837:6:0,G007,99999999999,HKD,018:RM:1800000000000000000001342613,18,CLS:1000644384,12JAN2042:00:00:00,31DEC2024:00:00:00,NX,12JAN2022:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003301812:1:0,O010,2446052,HKD,018:RM:1800000000000000000001378895,18,CLS:1000632681,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,20SEP2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003303618:3:0,G007,99999999999,HKD,018:RM:1800000000000000000001380019,18,CLS:1000632489,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003303618:1:1,P001,62953165,HKD,018:RM:1800000000000000000001380019,18,CLS:1000632489,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003303619:2:0,G007,99999999999,HKD,018:RM:1800000000000000000001379757,18,CLS:1000632489,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293882:2:1,P002,88805212,HKD,018:RM:1800000000000000000001350405,18,CLS:1000611916,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293882:4:1,P003,4179905,HKD,018:RM:1800000000000000000001350405,18,CLS:1000611916,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293882:1:0,G007,99999999999,HKD,018:RM:1800000000000000000001350405,18,CLS:1000611916,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293882:6:1,P001,6577196,HKD,018:RM:1800000000000000000001350405,18,CLS:1000611916,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293882:5:1,P003,4179905,HKD,018:RM:1800000000000000000001350405,18,CLS:1000611916,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003308598:4:0,G007,99999999999,HKD,018:RM:1800000000000000000001392665,18,CLS:1000645687,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,23JAN2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003308598:5:0,O010,4168621,HKD,018:RM:1800000000000000000001392665,18,CLS:1000645687,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,23JAN2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:2:1,P002,52555221,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:9:0,G007,470000000,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:10:1,P001,19426540,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:4:1,P002,76443959,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:6:0,G007,470000000,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:11:1,P001,28890753,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:12:1,P001,171451676,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:8:0,G007,470000000,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:7:0,G007,470000000,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:3:1,P002,64021815,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:14:1,P002,13377692,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003282067:13:1,P004,1394726,HKD,018:RM:1800000000000000000001324321,18,CLS:1000587307,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003287074:1:1,P001,3322363,HKD,018:RM:1800000000000000000001335285,18,CLS:1000669776,25AUG2037:00:00:00,31DEC2024:00:00:00,NX,25AUG2022:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003303937:2:0,O010,184300,USD,018:RM:1800000000000000000001382061,18,CLS:1000678198,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,19SEP2024:00:00:00,USD,HKD,7.76295054,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003287156:1:1,P003,2047520,HKD,018:RM:1800000000000000000001330475,18,CLS:1000596687,11JAN2041:00:00:00,31DEC2024:00:00:00,NX,11JAN2021:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293896:1:0,G007,99999999999,HKD,018:RM:1800000000000000000001363613,18,CLS:1000297514,28FEB2025:00:00:00,31DEC2024:00:00:00,NX,12JUN2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003293896:1:0,G007,99999999999,HKD,018:RM:1800000000000000000001363613,18,CLS:1000614248,28FEB2025:00:00:00,31DEC2024:00:00:00,NX,12JUN2024:00:00:00,HKD,HKD,1,M,1,
hk,PLEDGE_COLLATERAL,31DEC2024:00:00:00,CLS:180000000000000003300586:1:1,P001,6734554,HKD,018:RM:1800000000000000000001356864,18,CLS:1000624523,02AUG2051:00:00:00,31DEC2024:00:00:00,NX,02AUG2021:00:00:00,HKD,HKD,1,M,1,
